app_name,metascore,year
Counter-Strike: Source,88,2004
Half-Life 2,96,2004
Sid Meier's Pirates!,88,2005
Darwinia,84,2005
Rag Doll Kung Fu,69,2005
Dungeon Siege II,80,2005
Red Orchestra: Ostfront 41-45,81,2006
Space Empires IV Deluxe,79,2006
Dangerous Waters,82,2006
Earth 2160,73,2006
Shadowgrounds,74,2006
Half-Life 2: Episode One,87,2006
SiN Episodes: Emergence,75,2006
X3: Reunion,71,2005
X2: The Threat,72,2003
Iron Warriors: T - 72 Tank Command,56,2006
Uplink,75,2006
Xpand Rally,82,2006
Dark Messiah of Might & Magic,72,2006
Counter-Strike,88,2000
Gothic 1,81,2001
Half-Life: Blue Shift,71,2001
Mafia,88,2002
Day of Defeat,79,2003
Unreal Tournament 2004: Editor's Choice Edition,93,2004
Counter-Strike: Condition Zero,65,2004
